id,year,majortopic,subtopic,title,summary
7863,1998,19,1910,"THE CRASH OF FLIGHT 111: THE SCENE;","Swissair plane crashes"
7864,1998,24,2400,"Rich Husband Cuts Campaign Support To McCaughey Ross","Rich husband cuts campaign support to McCaughey Ross for her gubernatorial candidacy"
7865,1998,19,1910,"THE CRASH OF FLIGHT 111: THE OVERVIEW;","Swissair plane crashes most likely killing all 229 people on board"
7866,1998,19,1921,"Russians Defer A Vote, Buying Time for Talks","Russia's acting Prime Minister lays out a series of economic remedies"
7867,1998,20,2012,"Labor and the Left: Getting Cozy Again","Labor and left have attempted a reconciliation over the last two years"
7868,1998,1,101,"GREENSPAN HINTS THAT A RATE CUT ISN'T UNTHINKABLE","Greenspan hints toward interest rate cut"
7869,1998,12,1206,"Murder Charges Dropped Against 2 Boys in Chicago","Murder charges against 2 juveniles in Chicago"
7870,1998,29,2900,"In Maris's Proud Hometown, They Wait for an Era to End","Baseball fans wait to see if home run record will be smashed this season"
7871,1998,29,2900,"Sosa Gains on McGwire","Baseball home run hits"
7872,1998,20,2010,"Clinton Says He Is 'Very Sorry' After Senator's Harsh Criticism","Clinton says he is very sorry about his relationship with Lewinsky"
7873,1998,19,1910,"THE CRASH OF FLIGHT 111: THE OVERVIEW;","Smoke in the cockpit may have caused Swissair plane crash"
7874,1998,12,1201,"Huge Deployment Of Police Planned For Harlem Rally","Police prepare for Million Youth March"
7875,1998,19,1906,"U.S. AND JAPANESE CONFER BUT DIFFER ON ECONOMIC CURES","Economic policy leaders from the U.S. and Japan fail to agree on global economic cure"
7876,1998,29,2900,"A Smash Hit: McGwire Clouts His 60th","McGwire hits 60th home run in a season"
7877,1998,16,1615,"MILITANT LEADER WAS A U.S. TARGET SINCE THE SPRING","Bin Laden was a U.S.target months before U.S. embassy bombings"
7878,1998,12,1211,"CONFRONTATION IN HARLEM: THE OVERVIEW;","Million Youth March ends in confrontation with police and marchers"
7879,1998,16,1615,"Embassy Bombing Findings","New developments on U.S. embassy bombing in Tanzania"
7880,1998,19,1910,"THE CRASH OF FLIGHT 111: THE INVESTIGATION;","Investigation of Swissair plane crash continues"
7881,1998,14,1401,"END OF A GHETTO: A special report.;","Housing project to be cleared and new replaced with smaller developments"
7882,1998,26,2600,"Monsoon Hangs On, Swamping Bangladesh","Monsoon floods swamp Bangladesh"
7883,1998,5,504,"Labor Unions Show New Aggressiveness","Labor Unions show new agressiveness"
7884,1998,19,1921,"RUSSIAN NOMINEE WARNS OF CHAOS IF HE IS REJECTED","Acting Prine Minister of Russia warns of social chaos if he is rejected"
7885,1998,19,1910,"Data Recorder Is Found, Raising Hopes for Clues to Swissair Crash","Data recorder of wrecked Swissair plane found"
7886,1998,30,3000,"Akira Kurosawa, Film Director, Is Dead at 88","Japanese film director dies at 88"
7887,1998,20,2012,"Bradley for President?","Senator Bradley looks toward running for President"
7888,1998,12,1211,"CONFRONTATION IN HARLEM: THE OVERVIEW;","Giuliani defends police officers in confrontation with marchers at Million Youth march"
7889,1998,20,2012,"An Election Season Shadowed By Crises at Home and Abroad","Unlike Democrats, Republicans upbeat about fall campaigns"
7890,1998,20,2012,"An Election Bellwether","Representative Strickland running for re-election"
7891,1998,19,1921,"TURMOIL IN RUSSIA: MOSCOW MEMO;","Communists in Russia's Parliament keep Chernomyrdin from becoming Prime Minister"
7892,1998,19,1921,"RUSSIA IN TURMOIL: THE OVERVIEW;","Parliament votes against Chernomyrdin for Prime Minister of Russia"
7893,1998,23,2300,"U.S. Designers Drop European Coattails","American designers to present collections around Manhattan"
7894,1998,6,601,"At State U., No Room at the Dorm For the Invited but Not Expected","Freshman enrollments surge for large state universities leaving no room at the dorms"
7895,1998,20,2010,"CLINTON'S LAWYER SEEKS EARLY LOOK AT STARR FINDINGS","Clinton's lawyer asks Starr for an early look at Lewinsky report to be submitted to Congress"
7896,1998,26,2600,"Storms Bruise New York, City and Upstate","Thunderstorms hit New York"
7897,1998,1,100,"In Silicon Valley, Big Swings In Share Price Are Ho-Hum","Employers say swings of stocks are all part of the gamble"
7898,1998,29,2900,"BASEBALL;","Mark McGwire hits 61st home run"
7899,1998,24,2400,"Candidates Struggle To Stir Up Interest In New York Races","Candidates for Senate and governor start fall campaigns in New York"
7900,1998,3,398,"Researchers Report Success in Method To Pick Baby's Sex","Researchers to report on being able to choose baby's sex"
7901,1998,20,2012,"RENO ANNOUNCES AN INITIAL INQUIRY INTO CLINTON ADS","Attorney General Janet Reno orders 90-day inquiry into 1996 fampaign finance abuse issue"
7902,1998,20,2010,"TESTING OF A PRESIDENT: THE INVESTIGATION;","Starr plans to deliver report to Congress summarizing Clinton's relationship with Lewinsky"
7903,1998,1,100,"THE MARKETS;","Stock market reverses recent steep decline"
7904,1998,20,2099,"Trouble in the Suburbs","Clinton visits school in Maryland to relieve political strife"
7905,1998,6,602,"New York School Year Begins Minus Usual Sense of Crisis","New York's school year begins without the usual sense of crisis"
7906,1998,19,1910,"Urgent Messages as Swissair Flight Systems Failed","Investigators examine Swissair plane's flight data recorder"
7907,1998,29,2900,"BASEBALL;","McGwire sets Baseball's home run record"
7908,1998,23,2300,"Five Precious Pages Renew Wrangling Over Anne Frank","Anne Frank to be augmented to include long supressed pages"
7909,1998,19,1921,"Mired in Recession, Japan Lowers a Rate","Japanese central bank lowers interest rate in hopes of ending recession"
7910,1998,19,1921,"Russia's Communists Add To the Pressure on Yeltsin","Communist's threaten to impeach Yeltsin if Chernomyrdin is renominated"
7911,1998,20,2010,"TESTING OF A PRESIDENT: NEWS ANALYSIS;","Clinton struggles to contain defecting Democrats in light of Lewinsky scandal"
7912,1998,20,2010,"TESTING OF A PRESIDENT: THE PRESIDENT;","Clinton apologizes to House Democrats for Lewinsky scandal"
7913,1998,20,2010,"TESTING OF A PRESIDENT: THE OVERVIEW;","Starr sends Congress report on Lewinsky scandal"
7914,1998,19,1921,"COMPROMISE IN MOSCOW: THE OVERVIEW;","Yeltsin nominates Primakov as Prime Minister"
7915,1998,19,1921,"Iran Issues Warning To Afghan Leaders","Iran to hold Taliban responsible for deaths of Iranian diplomats"
7916,1998,20,2010,"TESTING OF A PRESIDENT: THE PRESIDENT;","Hillary Clinton expresses love, support, and forgiveness towards her husband"
7917,1998,10,1003,"Northwest and Pilots Union Gain Tentative Accord in Labor Fight","Northwest Airlines and pilots union reach agreement to end 13-day strike"
7918,1998,20,2010,"TESTING OF A PRESIDENT: THE INVESTIGATION;","Report finds no offense by Clinton in areas that would merit impeachment"
7919,1998,20,2010,"TESTING OF A PRESIDENT: THE PROCEEDINGS;","Congress prepares to make Whitewater report public"
7920,1998,20,2010,"TESTING OF A PRESIDENT: THE PROSECUTOR;","Whitewater report sent to Congress may lead to impeachent of Clinton"
7921,1998,20,2010,"TESTING OF A PRESIDENT;","Starr report released on the internet"
7922,1998,20,2010,"TESTING OF A PRESIDENT: THE PRESIDENT;","Clinton asks for forgiveness from Lewinsky"
7923,1998,19,1921,"Yeltsin's Choice Easily Ratified; A Shift to Left","Yeltsin's nominee Primakov wins confirmation as Prime Minister of Russia"
7924,1998,20,2010,"TESTING OF A PRESIDENT: THE POLITICS;","American people shift to a central role in Lewinsky case with the release of the Starr report"
7925,1998,20,2010,"TESTING OF A PRESIDENT: THE LAW;","Starr report states thate there is substanial information to impeach Clinton"
7926,1998,20,2010,"TESTING OF A PRESIDENT: THE RELATIONSHIP;","Lewinsky describes relationship with Clinton"
7927,1998,20,2010,"TESTING OF A PRESIDENT: THE OVERVIEW;","Whitewater independent counsel builds case for impeachment of Clinton"
7928,1998,31,3100,"After a Lift, Cuban Church Has a Letdown","Signs of new vitality in Roman Catholic church of Cuba"
7929,1998,20,2010,"TESTING OF A PRESIDENT: CAPITOL HILL;","Republicans careful in handling Lewinsky scandal"
7930,1998,20,2010,"TESTING OF A PRESIDENT: THE INDEPENDENT COUNSEL;","Kenneth Starr report on the Lewinsky scandal"
7931,1998,20,2010,"TESTING OF A PRESIDENT: THE OVERVIEW;","White House rejects independent counsel's charges of abuse of the Presidency"
7932,1998,20,2010,"About the Starr Text","Editing error on a section of the Starr report"
7933,1998,29,2900,"An Upset at the Open","Women's Tennis: Davenport beats Hingis"
7934,1998,20,2010,"TESTING OF A PRESIDENT: THE COMMITTEE;","Henry Hyde to lead impeachemnt inquiry on Clinton"
7935,1998,20,2010,"Many Faces of Clinton","Whitewater independent counsel's report on Clinton"
7936,1998,20,2010,"TESTING OF A PRESIDENT: THE PENALTY;","Clinton may escape Lewinsky scandal with only a censure"
7937,1998,20,2010,"TESTING OF A PRESIDENT:;","Clinton's encounters with Lewinsky"
7938,1998,29,2900,"BASEBALL;","Sammy Sosa still in home run race"
7939,1998,20,2012,"THE 1998 CAMPAIGN: THE SENATE RACE;","Senate Campaign: Democratic candidates meet for debates"
7940,1998,30,3000,"George Wallace, Segregation Symbol, Dies at 79","Former Governor and segregation symbol George Wallace dies at 79"
7941,1998,20,2010,"TESTING OF A PRESIDENT: THE PRESIDENT;","Debate over the future of Clinton's Presidency begins after Lewisnky scandal"
7942,1998,19,1921,"In Hour of Crisis, Kremlin Brings Gorbachev Economic Team Back","Gorbachev-era economists summoned to give advice on how to rescue Russian economy"
7943,1998,20,2010,"TESTING OF A PRESIDENT: THE LESSONS;","Lewinsky scandal discussed in schools"
7944,1998,13,1301,"Hispanic Mothers Lagging As Others Leave Welfare","Hispanic mothers on welfare feel stuck as they struggle to break into the workforce"
7945,1998,2,201,"A Symbol of Alabama's Past, Indelible to Black and White","Residents of Alabama recall late former Governor Wallace's promises of segregation"
7946,1998,19,1906,"CLINTON PRESENTS STRATEGY TO QUELL ECONOMIC THREAT","Clinton lays out strategy to quel economic threat before it hits the U.S. economy"
7947,1998,20,2010,"The President's Day","White House should stop trying to justify Clinton's testimony about Lewinsky scandal"
7948,1998,29,2900,"Sports of The Times;","Sosa and McGuire competing for baseball's home run record"
7949,1998,20,2012,"Primary Day in New York and in Connecticut","Primary day in New York and Connecticut"
7950,1998,20,2010,"TESTING OF A PRESIDENT: THE COUNSELORS;","Clinton chooses team of spiritual advisers after Lewinsky scandal"
7951,1998,19,1910,"Rome Journal;","Strike by dubbers wreaks havoc on the Italian television and movie industry"
7952,1998,13,1304,"U.S. Court Upholds Aid for the Disabled On State Bar Exams","Federal appeals court rules in favor of disabled on state bar exam"
7953,1998,20,2010,"TESTING OF A PRESIDENT: THE PUBLIC;","Public's view of Clinton's moral character has sunk but Americans don't want him impeached"
7954,1998,30,3000,"Alabama Bids Farewell to Wallace","Alabama state troopers carry coffin of former Governor Wallace into Capitol in Montgomery"
7955,1998,24,2400,"Political Outsider Wins in Washington","Washington voters choose Williams as the Democratic nominee for Mayor"
7956,1998,19,1921,"Elite Mexican Drug Officers Said to Be Tied to Traffickers","Elite Mexican drug officers may have ties to drug traffickers"
7957,1998,29,2900,"The Latest Record: No. 63 for McGwire","Mark McGwire hits 63rd home run"
7958,1998,20,2010,"TESTING OF A PRESIDENT: THE PRESIDENT;","House Judiciary Committee argues over whether to release Clinton's testimony videotape"
7959,1998,20,2012,"THE 1998 CAMPAIGN: THE OVERVIEW;","1998 campaign for Senate"
7960,1998,24,2400,"THE 1998 CAMPAIGN: GOVERNOR;","1998 Campaign for governor"
7961,1998,19,1921,"A Russian Coal-Mine Region Producing Little but Misery","Russian city suffers as mines are in shambles"
7962,1998,19,1906,"CLINTON PROPOSAL TO AID ECONOMIES MEETS OBSTACLES","Clinton's proposal to aid world's big economies meets obstacles"
7963,1998,20,2012,"THE 1998 CAMPAIGN: THE FAREWELL;","Ferraro campaigns for the Democratic nomination to the Senate"
7964,1998,20,2010,"TESTING OF A PRESIDENT: THE PRESIDENT;","Clinton defends his ability and intention to lead after Lewinsky scandal"
7965,1998,20,2010,"TESTING OF A PRESIDENT: THE OVERVIEW;","House Republicans push closer toward release of Clinton's testimony videotape"
7966,1998,6,602,"Principals Veto Trading Tenure For Higher Pay","Public school principals reject Giuliani's offer of trading tenure for higher pay"
7967,1998,19,1921,"Serbs in Bosnia Appear to Shun Favorite of U.S.","U.S. favorite voted out of office in Serbia"
7968,1998,19,1921,"In Zambia, the Abandoned Generation","AIDS epidemic in Zambia leaves many orphans"
7969,1998,19,1906,"Stocks Resume Fall In a Global Selloff","No solutions to global economic problems has lead stock prices to fall around the world"
7970,1998,2,201,"Clinton Panel on Race Urges Variety of Modest Measures","Clinton's advisory board recommends creation of permanent Presidential council on race"
7971,1998,16,1615,"2 New Suspects Linked by U.S. To Terror Case","U.S. Embassy bombing in Kenya was orchastrated by Islamic extemist Fazil"
7972,1998,20,2099,"Politicking in Cincinnati","Clinton meets with Ohio Democrats"
7973,1998,16,1603,"CHANGE IN CONTROL OF SATELLITE SALES GAINS IN CONGRESS","Control over exporting American satellites shift back to the State Department"
7974,1998,14,1401,"For Affluent Blacks, Harlem's Pull Is Strong","Prominent African Americans move back to historically black neighborhoods"
7975,1998,20,2010,"TESTING OF A PRESIDENT: THE OVERVIEW;","House Judiciary Committee bickers over releasing videotape of Clinton's testimony"
7976,1998,12,1202,"Former Archer Daniels Executives Are Found Guilty of Price Fixing","Former Archer Daniels Midland executives found guilty of price fixing"
7977,1998,20,2010,"TESTING OF A PRESIDENT: THE OVERVIEW;","House Judiciary Committee votes to release videotape of Clinton's testimony"
7978,1998,2,208,"Veto Sustained On Bill to Ban Some Abortions","Senate fails to override Clinton's veto of ban on late-term abortion"
7979,1998,20,2012,"A Race Gets Rough in a New York Minute","Race for Senate gets rough"
7980,1998,19,1921,"INTERNATIONAL BUSINESS;","Governing party and opposition reach agreement for revamping Japan's financial system"
7981,1998,1,100,"Summer of Trouble Still Doesn't Furrow Consumers' Brows","Consumers have turned slightly more cautious but confidence remains high in U.S. economy"
7982,1998,19,1921,"Swiss Recount Key Drug Role Of Salinas Kin","Brother of Mexico's former President played central role in Mexico's cocaine trade"
7983,1998,20,2099,"TESTING OF A PRESIDENT: THE SUPPORTERS;","Black community does not want President impeached"
7984,1998,17,1707,"New Today In Money &amp; Business","New features in newspaper"
7985,1998,6,602,"Better Schools Is Battle Cry for Fall Elections","Voter's focus primarily on education in gubernatorial elections"
7986,1998,19,1906,"Russia Crisis Leaves Yeltsin Pushed Aside","Financial crisis has left Yeltin with largely ceremonial role"
7987,1998,21,2102,"Plan for Tribal Casino Backfires On a Fading Jersey Shore Town","Plan to give back some city land to Delaware Indains for Wildwood's prosperity has backfired"
7988,1998,7,701,"OIL RICH, OIL POOR: A special report.;","Complaints against Mobil Oil company after oil spill off the Niger coast"
7989,1998,20,2010,"THE TESTING OF A PRESIDENT: THE OPPONENTS;","Vial of Clinton's blood drawn to match DNA with semen stain on dress"
7990,1998,29,2900,"Yankee Fans Take a Number","Line for Yankee's tickets wraps around stadium"
7991,1998,20,2010,"THE TESTING OF A PRESIDENT: THE OVERVIEW;","Clitnon's testimony in Lewinsky scandal"
7992,1998,19,1926,"An Era of Friction In U.S. Ties to U.N.","Nonpayment of dues has caused an era of friction between the U.S. and the U.N."
7993,1998,21,2102,"Indian Reservations Bank on Authenticity to Draw Tourists","Indian reservations draw tourists"
7994,1998,20,2010,"THE TESTING OF A PRESIDENT: THE WHITE HOUSE;","White House officials powerless as they wait for the release of Clinton's testimony videotape"
7995,1998,19,1906,"Japan Sees Itself as a Scapegoat Of Washington in the Asia Crisis","Japan irritated with the U.S. for not dealing with economic crisis in Asia during its infancy"
7996,1998,3,398,"Public Clamor Puts Focus on 'Clusters' In Cancer Research","Public movement has put focus on clusters in cancer research"
7997,1998,29,2900,"BASEBALL;","Cal Ripken ends consecutive game streak"
7998,1998,29,2900,"McGwire Hits No. 65 And Has Near-Miss","McGwire hits 65th homerun"
7999,1998,16,1619,"DECISION TO STRIKE FACTORY IN SUDAN BASED ON SURMISE INFERRED FROM EVIDENCE","Decision to strike factory in Sudan based on both inference and evidence"
8000,1998,17,1701,"NASA Wants Money to Save Russia Partner","NASA wants to spend money to save Russian partner"
8001,1998,20,2010,"THE TESTING OF A PRESIDENT: THE FOUR HOURS;","Videotape of Clinton's testimony played"
8002,1998,20,2010,"THE TESTING OF A PRESIDENT: THE VIDEOTAPE;","Clinton's testimony videotape"
8003,1998,20,2099,"At U.N., an Ovation And Words on Terrorism","Clinton greeted with standing ovation at U.N."
8004,1998,20,2010,"THE TESTING OF A PRESIDENT: THE DEPOSITION;","Clinton's testimony broadcastedto the nation"
8005,1998,20,2010,"THE TESTING OF A PRESIDENT;","Some evidence may help Clinton in Lewinsky scandal"
8006,1998,12,1205,"Questions on Health Care In Jails Raised After Death","Quality of health care in jails has deteriorated"
8007,1998,26,2600,"Puerto Rico Struck By Strong Hurricane","Hurricane Georges strikes Puerto Rico"
8008,1998,15,1599,"SPECIAL TODAY: Entrepreneurs","Tips from successful businesses"
8009,1998,20,2010,"THE TESTING OF A PRESIDENT: NEWS ANALYSIS;","Clinton's testimony videotape"
8010,1998,19,1921,"One Patch of Russia's Economic Crazy Quilt","Authorities of Russia's far-flung regions establish price controls"
8011,1998,14,1403,"Shower of Bricks Pinpoints Flaws In New York Building Inspections","Problems with New York's tall buildings persist even after strengthening of inspection laws"
8012,1998,20,2010,"THE TESTING OF A PRESIDENT: THE OVERVIEW;","Republicans push ahead with consideration of an impeachment inquiry"
8013,1998,26,2600,"HURRICANE DAMAGE EXCEEDS $1 BILLION","Hurricane Georges hits Puerto Rico and causes $1 billion in damage"
8014,1998,19,1921,"IRANIAN DISMISSES ALL HOPE FOR NOW OF POLITICAL THAW","President Khatami states Iran has no intention of political dialogue with the U.S."
8015,1998,4,403,"Nothing's Safe: Some Schools Ban Peanut Butter as Allergy Threat","Schools ban peanut butter as a result of allergy threat"
8016,1998,20,2010,"THE TESTING OF A PRESIDENT: THE OVERVIEW;","Contrary to Republicans, Democrats call for quick resolution of House impeachment proceedings"
8017,1998,1,104,"THE MARKETS;","Federal Reserve Bank of New York organizes rescue of prominent fund"
8018,1998,15,1502,"World Trade Center May Go on Market","World Trade Center may go on market"
8019,1998,29,2900,"BASEBALL;","Sosa battles McGwire for most home run hits in a season"
8020,1998,20,2012,"FIRST LADY ASSAILS VOTES BY D'AMATO","Hiliray Clinton's campaign in New York Senate race"
8021,1998,26,2600,"Hurricane Leaves 110 Dead; Florida Put on Alert","Hurricane Geroges leaves 110 dead"
8022,1998,1,101,"Fed Chairman Renews Hopes For a Rate Cut","Federal Reserve considers cutting interest rates"
8023,1998,16,1605,"PAKISTAN PLEDGES A-BOMB TEST BAN IF SANCTIONS END","Pakistan pledges to ban nuclear testing if sanctions end"
8024,1998,16,1605,"NEW DELHI PLEDGES TO SIGN WORLD BAN ON NUCLEAR TESTS","India pledges to ban nuclear testing"
8025,1998,19,1900,"Iran Drops Rushdie Death Threat, And Britain Renews Teheran Ties","Iran drops Rushdie death threat, and Britain restores full diplomatic relation with Tehran"
8026,1998,3,331,"Wave of Laws Aimed at People With H.I.V.","Legisilators around the country pass new laws aimed at people woth H.I.V."
8027,1998,19,1921,"Troubled President Turns to the Mideast","Clinton to meet separately with Israeli and Palestinian leaders"
8028,1998,15,1501,"FALLEN STAR: THE OVERVIEW;","Attempt to rescue major inverstment fund causes financial problems"
8029,1998,2,201,"Black and Hispanic Poverty Falls, Reducing Overall Rate for Nation","Poverty among black and Hispanic families declined, reducing overall poverty rate"
8030,1998,20,2010,"THE TESTING OF A PRESIDENT: PUBLIC OPINION;","Majority of Americans disproved release of Clinton's testimony videotape"
8031,1998,20,2010,"THE TESTING OF A PRESIDENT: THE SUIT;","Lawyers for Corbin and Clinton discuss financial settlement to end lawsuit"
8032,1998,26,2600,"Clearing the Path of the Storm","Hurricane Georges takes aim at southern Florida"
8033,1998,19,1910,"Rivals Have Found Little to Fight Over In German Election","Two leading parties fight over very little in German election"
8034,1998,20,2010,"THE TESTING OF A PRESIDENT: THE OVERVIEW;","Polls shows backlash against Congressional Republicans for preoccupation with Lewinsky scandal"
8035,1998,3,302,"AMERICANS LACKING HEALTH INSURANCE PUT AT 16 PERCENT","Americans lacking health insurance coverage reaches 16 percent"
8036,1998,6,601,"Charges of Research Fraud Arise at a Cornell AIDS Lab","Head of Cornell's AIDS lab accused of  scientific misconduct"
8037,1998,20,2010,"THE TESTING OF A PRESIDENT: THE LAWSUIT;","Final stages of Paula Jones's sexual misconduct lawsuit"
8038,1998,15,1501,"Troubled Investment Fund's Bets Now Estimated at $1.25 Trillion","Troubled investment fund's bets now estimated at $1.25 trillion"
8039,1998,26,2600,"Killer Hurricane Slams Into Keys","Hurricane Geroges slams into the Florida Keys"
8040,1998,29,2900,"BASEBALL;","Sosa and McGwire home run duel"
8041,1998,15,1501,"BILLIONS UPON BILLIONS: A special report.;","$3.65 billion pumped in major hedge fund to prevent disorderly collapse"
8042,1998,12,1299,"Son Gets a Big-League Field; Indulgent Father Gets Sued","Township and neighbors sueing man who has built 3 acre ball field in his backyard"
8043,1998,26,2600,"More Flee Hurricane","More people flee Hurricane Georges"
8044,1998,1,107,"SPLINTERED HOUSE APPROVES TAX CUT WORTH $80 BILLION","House passes $80 billion Republican tax cut"
8045,1998,29,2900,"McGwire Reaches 68; Mets Are a Game Out","McGwire hits 68th home run"
8046,1998,20,2012,"'Liberal' as Jab May Fail D'Amato This Time","Senator D'Amato labels Shumer as a liberal in general election campaign"
8047,1998,19,1910,"Kohl and His Story: New Chapter, or History?","Germany prepares to vote in national elections"
8048,1998,19,1906,"Calculated Risk: U.S. and I.M.F. Lead Push for Brazil Bailout Plan","U.S. and I.M.F. lead bailout plan for Brazil"
8049,1998,19,1910,"THE GERMAN ELECTION: THE DEFEATED;","German Chancellor, Helmut Kohl, voted out of office"
8050,1998,29,2900,"BASEBALL;","McGwire hits 70th home run"
8051,1998,29,2900,"A SEASON TOO ENTERTAINING TO END","Baseball playoffs"
8052,1998,26,2600,"Recharged Hurricane Batters Gulf Coast With 105 M.P.H. Winds","Hurricane Georges batters Gulf Coast"
8053,1998,19,1910,"THE GERMAN ELECTION: THE OVERVIEW;","Schroder defeats Kohl in the race to become Germany's Chancellor"
8054,1998,20,2012,"CALIFORNIA JOINING EARLY-BIRD STATES FOR CAMPAIGN 2000","California joins early-bird states for Presidential contests of 2000"
8055,1998,19,1921,"U.S., Israel and Arafat Inch Toward Pact","Israel agrees to withdraw from another 13 percent of the West Bank after three-way talks"
8056,1998,19,1910,"THE GERMAN ELECTION: NEWS ANALYSIS;","Schroder's Social Democrats inflict crushing defeat on Chancellor Kohl"
8057,1998,15,1507,"The Business of Persuasion Thrives in Nation's Capital","Business lobbyists busy working on bankruptcy legislation"
8058,1998,26,2600,"Floods Trap Hundreds","Hurricane Georges causes flodding in four states"
8059,1998,3,342,"Federal Proposal Would Provide Methadone to More Drug Addicts","Federal proposal to provide more methadone to those who need it"
8060,1998,20,2010,"Hyde Bows to Democrats on Some Inquiry Issues","Hyde accedes to Democratic demands on some inquiry issues"
8061,1998,29,2900,"Yankees Start Over After Record Season","Baseball's post-season begins"
8062,1998,17,1799,"Heavens Send Earth An Enormous Surge Of Stellar Radiation","Stellar radiation briefly penetrates Earth's upper atmosphere"
8063,1998,16,1604,"Joint Chiefs Tell Lawmakers Pet Projects Impair Defense","Pet projects and Congress's refusal to close unnecessary bases weakening nation's defense"
8064,1998,20,2010,"AN AMERICAN PLACE: Two Years Later;","Scandal that newspaper feared when it endorsed Clinton breaks out two years later"
8065,1998,1,101,"THE MARKETS;","Federal Reserve cuts interest rates by a quarter of a percentage point"
8066,1998,1,107,"A New Form of Lobbying Puts Public Face on Private Interest","Construction executive sets out to overturn nation's tax system"
8067,1998,29,2900,"BASEBALL PLAYOFFS;","Baseball playoffs"
8068,1998,16,1602,"Massacres by Serbian Forces in 3 Kosovo Villages","Massacres by Serbian forces in 3 villages"
8069,1998,30,3000,"Tom Bradley, Mayor in Era Of Los Angeles Growth, Dies","Tom Bradley, once mayor of Los Angeles, dies at 80"
8070,1998,19,1925,"War Crimes Panel Seeks a Way For Massacre Survivor to Testify","War crimes panel attempts to get lone wtiness of massacre out of Serbia"
8071,1998,1,105,"FISCAL YEAR ENDS WITH U.S. SURPLUS, FIRST IN 3 DECADES","1998 fiscal year ends with a budget surplus, first in 3 decades"
8072,1998,4,401,"Northwest Farms and Industry Pinched by Asia's Fiscal Crisis","Northwest wheat farmers faced with large stockpiles due to Asia's economic crisis"
8073,1998,19,1921,"Uganda AIDS Vaccine Test: Urgency Affects Ethics Rules","AIDS vaccine trial in Uganda"
8074,1998,1,100,"THE MARKETS: STOCKS;","Dow Jones down 2.9 percent due to economic crisis abroad"
8075,1998,16,1602,"Kosovo Killings Anger U.N.; NATO Weighs an Air Strike","NATO plans for possible air strike on Serbian forces after massacres of Albanians in Kosovo"
8076,1998,26,2600,"Dominicans Are Left With Little to Repair","Hurricane Georges wreaked havoc"
8077,1998,20,2010,"Salty Democrat Carries Ball for the G.O.P.","Republican investigation into possible impeachment charges against Clinton"
8078,1998,29,2900,"Yankees Win, From the Bottom Up","Baseball:Yankees beat Texas"
8079,1998,19,1906,"A FUND OF TROUBLE: A special report.;","I.M.F. struggles to stop world recession"
8080,1998,19,1921,"Nerve-Gas Element Was in El Al Plane Lost in 1992 Crash","Spokeman for Israeli airline announces nerve-gas element aboard El Al plane in 1992 crash"
8081,1998,19,1925,"CONFLICT IN THE BALKANS: IN KOSOVO;","Massacre of ethnic Albanians in Kosovo"
8082,1998,20,2010,"Democratic Leaders Draft Inquiry Plan","Democratic leaders endorse proposal for limited impeachment inquiry"
8083,1998,15,1501,"FALLEN STAR: THE REGULATORS;","Greenspan backs central bank's decision to save investment firm from collapsing"
8084,1998,23,2300,"Mizrahi, Designer Most Likely to Succeed, Doesn't","Designer Isaac Mizrahi announces closing of his business"
8085,1998,10,1005,"A Grand Entrance","Grand Central Terminal  officailly reopens"
8086,1998,16,1602,"CONFLICT IN THE BALKANS: IN WASHINGTON;","NATO to act against Milosevic if violence does not stop"
8087,1998,12,1201,"City Will Settle Suits on Death In Police Arrest","NYPD agrees to pay $3 million dollars to settle police brutality lawsuit"
8088,1998,23,2300,"Comique Classique"," will reappear in color in comic books"
8089,1998,19,1921,"At Russian Post Office, Check Isn't in the Mail","Russia's Post Office is in debt"
8090,1998,19,1906,"CLINTON PROPOSES I.M.F. ACT EARLIER TO PREVENT CRISES","Clinton proposes I.M.F. acts earlier in helping countries ward off economic crisis"
8091,1998,19,1921,"As the Taliban Finish Off Foes, Iran Is Looming","Iran orders mobilizes troops along its border with Afghanistan as Taliban forces finish off foes"
8092,1998,1,103,"Job Creation Slowed By Foreign Turmoil","Unemployment rate up in the U.S. as financial crisis abroad slows the domestic economy"
8093,1998,24,2400,"Donors to McCall Campaign Got Pension Fund Contracts","New York State Comptroller awarded contracts to donors"
8094,1998,20,2010,"THE TESTING OF THE PRESIDENT: THE TAPES;","Phone chat tapes between Lewinsky and Tripp"
8095,1998,20,2010,"THE TESTING OF THE PRESIDENT: THE OVERVIEW;","House Judiciary Committee releases final mass of evidence in Lewinsky scandal"
8096,1998,29,2900,"Thunder, and a Yankee Sweep","Baseball: Yankees beat Rangers"
8097,1998,16,1602,"Force in Bosnia Fails at One Task: A Pullout","NATO troops have yet to figure out plan to leave Bosnia"
8098,1998,23,2300,"Fast-Selling Thrillers Depict Prophetic View of Final Days","Series of four books of apocalyptic fiction sell three million copies"
8099,1998,23,2300,"The Coins Go In, and the Worms Come Out","Vending machines developed by an Iowa company dole out fishing bait 24 hours a day"
8100,1998,20,2010,"Large Keyhole To White House","Testimony released by Congress shows how little privacy the President has"
8101,1998,20,2012,"Democrats Appear Vulnerable in Senate Races","Democrats on the defensive in Senate races"
8102,1998,29,2900,"Next: Yankees-Indians","Baseball:Yankees to play Indians in Championship Series"
